file,n_clusters,vector_size,window,epochs,NMI,running_time,training_time,iteration
P0.O30_tx,6,50,5,10,1.0,0.166477,58.95318531990051,median
P0.O30_tx,6,100,10,5,1.0,0.293557,53.219393253326416,median
P0.O30_tx,6,400,10,20,1.0,1.149679,435.5500011444092,median
P0.O30_tx,6,400,10,10,1.0,1.137078,211.31983304023743,median
P0.O30_tx,6,400,10,5,1.0,1.148513,107.31256890296936,median
P0.O30_tx,6,50,5,20,1.0,0.165382,115.49961948394775,median
P0.O30_tx,6,200,10,10,1.0,0.586881,144.28890228271484,median
P0.O30_tx,6,200,10,5,1.0,0.615806,70.9115514755249,median
P0.O30_tx,6,100,10,20,1.0,0.298387,203.9014189243317,median
P0.O30_tx,6,100,10,10,1.0,0.287061,103.82684755325316,median
P0.O30_tx,6,200,10,20,1.0,0.57795,273.3006331920624,median
P0.O30_tx,6,50,10,20,1.0,0.170334,199.63578867912287,median
P0.O30_tx,6,50,10,10,1.0,0.165986,100.80261969566344,median
P0.O30_tx,6,50,10,5,1.0,0.169223,52.80481815338135,median
P0.O30_tx,6,400,5,20,1.0,1.145132,238.3979065418244,median
P0.O30_tx,6,400,5,10,1.0,1.150447,121.37746357917786,median
P0.O30_tx,6,200,5,20,1.0,0.583336,157.63814282417297,median
P0.O30_tx,6,100,5,20,1.0,0.29693,118.52335262298584,median
P0.O30_tx,6,100,5,10,1.0,0.292258,60.22506093978882,median
P0.O30_tx,6,50,5,5,0.999939275704466,0.165613,29.86630415916443,median
P0.O30_tx,6,200,5,10,0.999881560714814,0.588366,76.30158376693726,median
P0.O30_tx,6,100,5,5,0.9998785517328864,0.309262,30.954891443252563,median
P0.O30_tx,6,200,5,5,0.9998785517328864,0.597097,41.79754829406738,median
P0.O30_tx,6,400,5,5,0.9998785517328864,1.162951,60.844313859939575,median
P0.O30_tx,8,200,10,10,0.9398588912905542,0.83117,144.28890228271484,median
P0.O30_tx,8,50,10,20,0.9353320025061652,0.213832,199.63578867912287,median
P0.O30_tx,8,100,5,10,0.9353276065071504,0.406842,60.22506093978882,median
P0.O30_tx,8,200,10,5,0.9349054500414732,0.799435,70.9115514755249,median
P0.O30_tx,8,400,10,5,0.9348897451760596,1.682299,107.31256890296936,median
P0.O30_tx,8,100,5,5,0.9347748644021664,0.44596,30.954891443252563,median
