file,n_clusters,vector_size,window,epochs,NMI,running_time,iteration
letrecog_tx,100,500,10,20,0.3441518758013607,4.2743,1
letrecog_tx,100,100,5,5,0.3435282258990249,1.101403,1
letrecog_tx,100,200,5,10,0.3433222782149406,1.895607,3
letrecog_tx,100,100,5,20,0.342895853923118,0.904107,1
letrecog_tx,100,200,10,20,0.3427329902158005,1.89497,3
letrecog_tx,100,100,10,5,0.3425956569944125,0.999722,1
letrecog_tx,100,100,5,5,0.3423050425976049,0.978896,2
letrecog_tx,100,500,5,10,0.3418479820487758,5.255843,3
letrecog_tx,100,100,5,10,0.3417473263030702,0.937329,1
letrecog_tx,100,200,10,5,0.3416354949080536,1.904415,3
letrecog_tx,100,500,5,5,0.3415790793022144,4.748203,1
letrecog_tx,100,100,10,20,0.3415118563305382,0.959314,2
letrecog_tx,100,100,10,20,0.3412831383525996,0.993358,1
letrecog_tx,100,100,10,5,0.3410343714990894,0.957357,2
letrecog_tx,100,100,10,10,0.340955744917678,0.936564,2
letrecog_tx,100,200,5,20,0.3406935322779393,1.952978,2
letrecog_tx,100,200,5,20,0.3402923216836802,1.856944,1
letrecog_tx,100,500,5,20,0.3398678968859049,4.600288,1
letrecog_tx,100,200,5,10,0.3397931564439185,1.819065,1
letrecog_tx,100,500,5,5,0.3397555735346437,4.340699,3
letrecog_tx,100,500,10,5,0.3395590289351834,4.509559,1
letrecog_tx,100,50,10,20,0.3394631078832116,0.665001,3
letrecog_tx,100,50,5,10,0.3392761230619144,0.645735,1
letrecog_tx,100,500,5,20,0.3392477628994293,4.312123,3
letrecog_tx,100,200,10,5,0.3390478937110125,1.807234,2
letrecog_tx,100,500,10,10,0.3389983544844792,4.601247,1
letrecog_tx,100,200,10,10,0.3388829995621641,2.006159,3
letrecog_tx,100,50,10,5,0.3387590857512501,0.633307,3
letrecog_tx,100,500,10,20,0.3383841936606067,4.501245,2
letrecog_tx,100,100,5,20,0.3383185478419042,0.894394,3
