file,n_clusters,vector_size,window,epochs,NMI,running_time,iteration
chessBig_tx,100,50,10,20,0.2051151882629568,0.97272,2
chessBig_tx,100,50,10,20,0.2040688431230174,0.931653,1
chessBig_tx,100,50,10,20,0.202808343104239,0.81213,3
chessBig_tx,100,50,10,10,0.2022711213121862,0.944265,2
chessBig_tx,100,200,5,10,0.2017225890195647,3.548904,2
chessBig_tx,100,50,10,10,0.2012707033516637,0.979847,1
chessBig_tx,100,200,10,20,0.2012518795042995,2.760356,3
chessBig_tx,100,200,5,10,0.2008257483903565,3.505487,3
chessBig_tx,100,200,5,10,0.2007778435314847,3.656557,1
chessBig_tx,100,200,10,20,0.2000425636908413,3.092675,2
chessBig_tx,100,50,10,10,0.199946428177322,0.887788,3
chessBig_tx,100,100,5,20,0.1991632170877011,1.22046,3
chessBig_tx,100,200,10,20,0.1986821315698158,2.966833,1
chessBig_tx,100,50,5,10,0.1980254088463881,0.925763,3
chessBig_tx,100,50,5,20,0.1972294830093786,0.940144,3
chessBig_tx,100,50,5,10,0.1966632661246967,0.972752,2
chessBig_tx,100,50,5,10,0.1963196625983979,0.971973,1
chessBig_tx,100,100,5,20,0.1961938285154817,1.19146,1
chessBig_tx,100,100,5,10,0.196121074613443,1.321236,3
chessBig_tx,100,100,5,10,0.1958777183262612,1.21874,2
chessBig_tx,100,200,10,10,0.1957393897482049,2.972788,3
chessBig_tx,100,500,5,20,0.1954957236354511,7.144256,1
chessBig_tx,100,500,10,20,0.1954590599679047,6.674552,3
chessBig_tx,100,500,5,10,0.1953596586523714,7.020219,3
chessBig_tx,100,50,5,20,0.1949193182454781,0.997327,1
chessBig_tx,100,200,5,20,0.1948952804102715,3.201971,2
chessBig_tx,100,500,5,20,0.194643235880375,7.756288,3
chessBig_tx,100,500,10,10,0.1945130048142774,7.003427,3
chessBig_tx,100,200,5,20,0.1943757879663999,2.946635,3
chessBig_tx,100,100,5,20,0.1937825201835086,1.280059,2
