filename,nmi,deltak,purity,running_time
P0.O0_tx.data,0.9999384802197249,0,0.9999897420115915,1.69857
P0.O0_tx.data,1.0,0,1.0,1.517517
P0.O0_tx.data,1.0,0,1.0,1.402583
P0.O0_tx.data,0.9998771240276629,0,0.999979484023183,1.43004
P0.O0_tx.data,0.999876769771815,0,0.999979484023183,1.680881
P0.O0_tx.data,0.99993900972495,0,0.9999897420115915,1.51948
P0.O0_tx.data,0.999708231832202,0,0.9999487100579576,1.497977
P0.O0_tx.data,1.0,0,1.0,1.635142
P0.O0_tx.data,0.999938376293687,0,0.9999897420115915,1.757051
P0.O0_tx.data,0.9998771642777844,0,0.999979484023183,1.897273
P0.O30_tx.data,0.999938782275081,0,0.9999900608277342,1.789043
P0.O30_tx.data,0.999939275717689,0,0.9999900608277342,1.481972
P0.O30_tx.data,0.9999398776592683,0,0.9999900608277342,1.230544
P0.O30_tx.data,1.0000000000000002,0,1.0,1.147189
P0.O30_tx.data,0.9998264203906466,0,0.9999701824832028,1.431743
P0.O30_tx.data,0.999938782275081,0,0.9999900608277342,1.212613
P0.O30_tx.data,0.9999392757176889,0,0.9999900608277342,1.140127
P0.O30_tx.data,1.0000000000000002,0,1.0,1.293046
P0.O30_tx.data,1.0000000000000002,0,1.0,1.187257
P0.O30_tx.data,1.0,0,1.0,1.122901
P20.O0_tx.data,0.999538046495418,0,0.9999198862384586,2.716831
P20.O0_tx.data,0.9507898465312116,2,0.9997596587153759,2.762922
P20.O0_tx.data,0.95604236492204,2,0.9998097298163392,2.632028
P20.O0_tx.data,0.9994170438211085,0,0.9998998577980732,2.233405
P20.O0_tx.data,0.9345850812225289,3,0.9997796871557612,2.560359
P20.O0_tx.data,0.9633079702377757,2,0.9996394880730638,2.556317
P20.O0_tx.data,0.9300038713545943,3,0.9998998577980732,2.709082
P20.O0_tx.data,0.9997661760739185,0,0.9999599431192293,2.794808
P20.O0_tx.data,0.9394239229695338,3,0.9997396302749905,2.900294
P20.O0_tx.data,0.9993045530833633,0,0.9998798293576879,2.286413
P20.O30_tx.data,0.9998162329228316,0,0.9999694982461491,1.984407
P20.O30_tx.data,0.9747014474460831,1,0.9999796654974328,2.356525
P20.O30_tx.data,0.9463573491532308,3,0.9999694982461491,2.747489
P20.O30_tx.data,0.9999386423716876,0,0.9999898327487163,2.407659
P20.O30_tx.data,0.9712874970142558,1,1.0,3.019486
P20.O30_tx.data,0.9537320849717118,3,0.9999491637435819,2.427712
P20.O30_tx.data,0.999939239827378,0,0.9999898327487163,2.320109
P20.O30_tx.data,0.9140026529689176,5,0.9999186619897311,3.673299
P20.O30_tx.data,0.9998241088797252,0,0.9999694982461491,2.253834
P20.O30_tx.data,0.9999386423716874,0,0.9999898327487163,2.762148
P50.O30_tx.data,0.9927331467264783,0,0.9985261260584668,2.666783
P50.O30_tx.data,0.9942448120312467,0,0.9988546966823755,3.040626
P50.O30_tx.data,0.993951421712618,0,0.9988077580218171,3.222806
P50.O30_tx.data,0.9939064442069045,0,0.9987795948254821,2.467521
P50.O30_tx.data,0.9943347470783306,0,0.9988922476108222,2.488327
P50.O30_tx.data,0.9608586304826559,1,0.9981506167739997,3.197099
P50.O30_tx.data,0.9941753558673072,0,0.9988453089502638,3.317154
P50.O30_tx.data,0.9915874108780992,0,0.9982163308987815,3.180207
P50.O30_tx.data,0.9879497601191284,0,0.9972493944912788,3.100871
P50.O30_tx.data,0.9908436177597781,0,0.9980661271849947,3.11656
P50.O0_tx.data,0.9629917913668881,0,0.9906013137948458,2.481933
P50.O0_tx.data,0.7826302619886969,0,0.8719004088382563,2.723779
P50.O0_tx.data,0.8364942358308585,1,0.9276677844641462,3.82073
P50.O0_tx.data,0.9554749081458557,0,0.9882217832697873,3.215933
P50.O0_tx.data,0.8099427144851333,-1,0.8738573200422619,2.518028
P50.O0_tx.data,0.9614544727631266,0,0.9897377003996509,3.397557
P50.O0_tx.data,0.9502978531229076,0,0.9865864302448436,3.351084
P50.O0_tx.data,0.9539721942098277,0,0.9874316688869493,3.447903
P50.O0_tx.data,0.7616737333427697,-1,0.857669162570628,2.910841
P50.O0_tx.data,0.9276327104104648,1,0.9875051678993063,3.177017
