file,n_clusters,vector_size,window,epochs,NMI,running_time,training_time,iteration
P20.O30_tx,2,50,5,5,0.557684006894279,0.09236,34.73120617866516,1
P20.O30_tx,2,50,5,5,0.557684006894279,0.092722,34.73120617866516,2
P20.O30_tx,2,50,5,5,0.557684006894279,0.085828,34.73120617866516,3
P20.O30_tx,2,50,5,5,0.557684006894279,0.094456,34.73120617866516,4
P20.O30_tx,2,50,5,5,0.557684006894279,0.081654,34.73120617866516,5
P20.O30_tx,2,50,5,5,0.557684006894279,0.094081,34.73120617866516,6
P20.O30_tx,2,50,5,5,0.557684006894279,0.093968,34.73120617866516,7
P20.O30_tx,2,50,5,5,0.557684006894279,0.088975,34.73120617866516,8
P20.O30_tx,2,50,5,5,0.557684006894279,0.086277,34.73120617866516,9
P20.O30_tx,2,50,5,5,0.557684006894279,0.095283,34.73120617866516,10
P20.O30_tx,2,50,5,5,0.557684006894279,0.09236,34.73120617866516,median
P20.O30_tx,4,50,5,5,0.8462896517481703,0.150845,34.73120617866516,1
P20.O30_tx,4,50,5,5,0.8597861473139158,0.183949,34.73120617866516,2
P20.O30_tx,4,50,5,5,0.8292399707430527,0.226033,34.73120617866516,3
P20.O30_tx,4,50,5,5,0.8292399707430527,0.151177,34.73120617866516,4
P20.O30_tx,4,50,5,5,0.8462896517481703,0.146451,34.73120617866516,5
P20.O30_tx,4,50,5,5,0.8462896517481703,0.123935,34.73120617866516,6
P20.O30_tx,4,50,5,5,0.8462896517481703,0.123952,34.73120617866516,7
P20.O30_tx,4,50,5,5,0.8462896517481703,0.131926,34.73120617866516,8
P20.O30_tx,4,50,5,5,0.8462896517481703,0.127224,34.73120617866516,9
P20.O30_tx,4,50,5,5,0.8462896517481703,0.12278,34.73120617866516,10
P20.O30_tx,4,50,5,5,0.8462896517481703,0.150845,34.73120617866516,median
P20.O30_tx,6,50,5,5,0.9997545598659168,0.148366,34.73120617866516,1
P20.O30_tx,6,50,5,5,0.9997545598659168,0.158488,34.73120617866516,2
P20.O30_tx,6,50,5,5,0.9997545598659168,0.151741,34.73120617866516,3
P20.O30_tx,6,50,5,5,0.9997545598659168,0.15834,34.73120617866516,4
P20.O30_tx,6,50,5,5,0.9997545598659168,0.163992,34.73120617866516,5
P20.O30_tx,6,50,5,5,0.9997545598659168,0.164637,34.73120617866516,6
P20.O30_tx,6,50,5,5,0.9997545598659168,0.173781,34.73120617866516,7
P20.O30_tx,6,50,5,5,0.9997545598659168,0.18392,34.73120617866516,8
P20.O30_tx,6,50,5,5,0.9997545598659168,0.172657,34.73120617866516,9
P20.O30_tx,6,50,5,5,0.9997545598659168,0.16696,34.73120617866516,10
P20.O30_tx,6,50,5,5,0.9997545598659168,0.148366,34.73120617866516,median
P20.O30_tx,8,50,5,5,0.9389088268479884,0.236666,34.73120617866516,1
P20.O30_tx,8,50,5,5,0.9352710852356658,0.223797,34.73120617866516,2
P20.O30_tx,8,50,5,5,0.9304929648535916,0.247143,34.73120617866516,3
P20.O30_tx,8,50,5,5,0.9382323873739936,0.23695,34.73120617866516,4
P20.O30_tx,8,50,5,5,0.9347580986054632,0.53137,34.73120617866516,5
P20.O30_tx,8,50,5,5,0.9304388669415544,0.467425,34.73120617866516,6
P20.O30_tx,8,50,5,5,0.9384299171359184,0.405369,34.73120617866516,7
P20.O30_tx,8,50,5,5,0.9433064561176108,0.383716,34.73120617866516,8
P20.O30_tx,8,50,5,5,0.938436034138534,0.367608,34.73120617866516,9
P20.O30_tx,8,50,5,5,0.9304860389385006,0.343018,34.73120617866516,10
P20.O30_tx,8,50,5,5,0.9352710852356658,0.223797,34.73120617866516,median
P20.O30_tx,2,50,5,10,0.5576229382920038,0.096675,83.00266337394714,1
P20.O30_tx,2,50,5,10,0.5576229382920038,0.111109,83.00266337394714,2
P20.O30_tx,2,50,5,10,0.5576229382920038,0.109977,83.00266337394714,3
P20.O30_tx,2,50,5,10,0.5576229382920038,0.105136,83.00266337394714,4
P20.O30_tx,2,50,5,10,0.5576229382920038,0.107996,83.00266337394714,5
P20.O30_tx,2,50,5,10,0.5576229382920038,0.11523,83.00266337394714,6
P20.O30_tx,2,50,5,10,0.5576229382920038,0.102968,83.00266337394714,7
P20.O30_tx,2,50,5,10,0.5576831867622429,0.113398,83.00266337394714,8
P20.O30_tx,2,50,5,10,0.5576831867622429,0.114711,83.00266337394714,9
P20.O30_tx,2,50,5,10,0.5576831867622429,0.127278,83.00266337394714,10
P20.O30_tx,2,50,5,10,0.5576229382920038,0.096675,83.00266337394714,median
P20.O30_tx,4,50,5,10,0.8462896517481703,0.144345,83.00266337394714,1
