filename,nmi,deltak,nclusters,running_time,iteration
P50.O30_tx,0.9554987872867039,1,7,3.246237,1
P50.O30_tx,0.9930045897386847,0,6,3.187194,2
P50.O30_tx,0.9938222251204613,0,6,2.874554,3
P50.O30_tx,0.9932197032404454,0,6,3.052818,4
P50.O30_tx,0.9929621689808273,0,6,3.206593,5
P50.O30_tx,0.9940754744295653,0,6,3.27832,6
P50.O30_tx,0.9945542477676739,0,6,3.193223,7
P50.O30_tx,0.9933763538566314,0,6,3.072384,8
P50.O30_tx,0.9898294289827045,0,6,3.477064,9
P50.O30_tx,0.9913305543245319,0,6,3.278196,10
P50.O30_tx,0.9941104838105642,0,6,2.970743,11
P50.O30_tx,0.9939641574479713,0,6,3.159364,12
P50.O30_tx,0.9941598289285736,0,6,3.11203,13
P50.O30_tx,0.9931310576521133,0,6,3.052236,14
P50.O30_tx,0.992317104228999,0,6,2.947602,15
P50.O30_tx,0.959686774351094,1,7,3.413136,16
P50.O30_tx,0.9928429504815357,0,6,3.053071,17
P50.O30_tx,0.9895430221112775,0,6,3.331219,18
P50.O30_tx,0.9931800449931971,0,6,2.905941,19
P50.O30_tx,0.9911711894856774,0,6,3.225749,20
P50.O30_tx,0.9892890073609616,0.1,6.1,3.1518837,avg
connect_tx,5.603667675425401e-06,-1,2,0.396056,1
connect_tx,0.004231947393436061,1,4,0.669908,2
connect_tx,0.0007835366620991858,-1,2,0.387087,3
connect_tx,0.002837364570986707,-1,2,0.393673,4
connect_tx,0.006134862268615243,2,5,0.762008,5
connect_tx,0.002670687756800939,0,3,0.510443,6
connect_tx,0.003044719624671129,-1,2,0.388662,7
connect_tx,0.001984015259745784,0,3,0.559898,8
connect_tx,0.0026772683899497357,-1,2,0.39055,9
connect_tx,0.0033613554569583274,0,3,0.541334,10
connect_tx,0.000604456234505948,0,3,0.554293,11
connect_tx,9.654436694477443e-05,-1,2,0.390019,12
connect_tx,0.0038839858248369283,1,4,0.623063,13
connect_tx,0.004054329811864024,-1,2,0.403164,14
connect_tx,0.003145717571896005,0,3,0.533336,15
connect_tx,0.00016615070226440345,-1,2,0.427646,16
connect_tx,0.014185222047092404,0,3,0.540096,17
connect_tx,0.00022012932111983526,-1,2,0.410595,18
connect_tx,0.0007215016844454154,-1,2,0.411593,19
connect_tx,0.0038734251872855553,-1,2,0.394989,20
connect_tx,0.0029341411901596917,-0.35,2.65,0.4844206500000001,avg
P0.O30_tx,1.0000000000000002,0,6,1.786792,1
P0.O30_tx,0.9998774543600466,0,6,1.789777,2
P0.O30_tx,0.9999391859472335,0,6,1.921741,3
P0.O30_tx,1.0,0,6,1.804555,4
P0.O30_tx,0.9999391859472335,0,6,1.828589,5
P0.O30_tx,0.999938672270995,0,6,1.810141,6
P0.O30_tx,1.0000000000000002,0,6,1.753611,7
P0.O30_tx,0.9998865633651706,0,6,1.791416,8
P0.O30_tx,0.9999391859472335,0,6,1.830627,9
P0.O30_tx,0.999939185939835,0,6,1.750805,10
P0.O30_tx,0.9999391859472335,0,6,1.771227,11
P0.O30_tx,1.0,0,6,1.821454,12
P0.O30_tx,1.0000000000000002,0,6,1.842212,13
P0.O30_tx,0.9998799761600653,0,6,1.838188,14
P0.O30_tx,0.9999398776592683,0,6,1.888349,15
P0.O30_tx,0.9999398776592683,0,6,1.864462,16
P0.O30_tx,1.0000000000000002,0,6,1.848194,17
P0.O30_tx,0.9999406805165696,0,6,1.858263,18
P0.O30_tx,1.0,0,6,1.811034,19
