filename,n_clusters,nmi,running_time,training_time,embeding_time,iteration
db201610,16,0.61,7.929025,1239.4233264923096,787.7325215339661,2
db201610,16,0.56,7.190909,1239.4233264923096,787.7325215339661,3
db201610,16,0.58,9.049701,1239.4233264923096,787.7325215339661,4
db201610,16,0.56,7.733776,1239.4233264923096,787.7325215339661,5
db201610,16,0.62,7.191791,1239.4233264923096,787.7325215339661,6
db201610,16,0.60,9.127533,1239.4233264923096,787.7325215339661,7
db201610,16,0.5961632160528514,11.594312,1239.4233264923096,787.7325215339661,8
db201610,16,0.55,7.593075,1239.4233264923096,787.7325215339661,9
db201610,16,0.53,7.737209,1239.4233264923096,787.7325215339661,10
db201610,16,0.52,5.724615,1239.4233264923096,787.7325215339661,11
db201610,16,0.58,4.982534,1239.4233264923096,787.7325215339661,12
db201610,16,0.63,8.238105,1239.4233264923096,787.7325215339661,13
db201610,16,0.5961632160528514,8.47571,1239.4233264923096,787.7325215339661,14
db201610,16,0.5961632160528514,7.222687,1239.4233264923096,787.7325215339661,15
db201610,16,0.58,9.163506,1239.4233264923096,787.7325215339661,16
db201610,16,0.60,8.082527,1239.4233264923096,787.7325215339661,17
db201610,16,0.5961632160528514,7.24935,1239.4233264923096,787.7325215339661,18
db201610,16,0.57,7.415262,1239.4233264923096,787.7325215339661,19
db201610,16,0.5961632160528514,10.073053,1239.4233264923096,787.7325215339661,20
