filename,ncluster,nmi,running_time,training_time,embeding_time,iteration
adult_tx,4,0.14517177307430879,0.052422,0.7528901100158691,4.999539136886597,1
adult_tx,4,0.1401389445665632,0.054879,0.7919623851776123,5.10741114616394,2
adult_tx,4,0.14155346397571272,0.095739,0.8691802024841309,5.194339036941528,3
adult_tx,4,0.13927614649060432,0.047236,0.8408043384552002,5.0968732833862305,4
adult_tx,4,0.14003822855981718,0.286243,0.8105711936950684,5.2167158126831055,5
adult_tx,4,0.14395136598226194,0.232975,1.3183903694152832,5.8823206424713135,6
adult_tx,4,0.14750016490076745,0.262411,1.270864725112915,6.394581317901611,7
adult_tx,4,0.1391169411389285,0.240864,1.277780532836914,5.799160480499268,8
adult_tx,4,0.1490993367691925,0.251477,1.274141550064087,5.757495403289795,9
adult_tx,4,0.14073405438712103,0.220409,1.2604124546051025,5.806159496307373,10
adult_tx,4,0.14793241426000805,0.234813,1.3069205284118652,5.813969850540161,11
adult_tx,4,0.1363404955329012,0.226222,1.2244720458984375,5.742814302444458,12
adult_tx,4,0.14326049440735003,0.241115,1.2061185836791992,5.828174591064453,13
adult_tx,4,0.1465212433498585,0.221456,1.2334556579589844,5.76027512550354,14
adult_tx,4,0.14387445415742273,0.219216,1.262821912765503,6.086865186691284,15
adult_tx,4,0.13751076541648266,0.269986,1.2445306777954102,5.756195783615112,16
adult_tx,4,0.1469316447479286,0.269954,1.2735002040863037,5.752866268157959,17
adult_tx,4,0.14478148144761624,0.047618,1.242572546005249,5.726532936096191,18
adult_tx,4,0.13876271982544028,0.229912,1.143911361694336,5.842281103134155,19
adult_tx,4,0.1444543013358022,0.236703,1.2468886375427246,5.981305122375488,20
adult_tx,Nan,0.1428475217163044,0.19708249999999997,1.1426095008850097,5.677293801307679,avg
adult_tx,8,0.1069709528549802,0.050336,1.2356414794921875,5.774500131607056,1
adult_tx,8,0.10914799161156577,0.051625,1.0895686149597168,5.830166339874268,2
adult_tx,8,0.10713370873317872,0.053529,1.117807388305664,6.124115705490112,3
adult_tx,8,0.10946777895852293,0.046849,1.1639845371246338,5.77497410774231,4
adult_tx,8,0.1078143363233577,0.056623,1.1301872730255127,5.870023012161255,5
adult_tx,8,0.10991813387392743,0.054051,1.1178076267242432,5.779915809631348,6
adult_tx,8,0.10652563217714603,0.054891,1.1168112754821777,5.818025827407837,7
adult_tx,8,0.10647106961327417,0.054543,1.140695333480835,5.819890975952148,8
adult_tx,8,0.10820378864503429,0.051239,1.1374270915985107,6.207277297973633,9
adult_tx,8,0.10816701052771786,0.044184,1.1797261238098145,5.764016628265381,10
adult_tx,8,0.104729519538208,0.049898,1.1680493354797363,5.77855372428894,11
adult_tx,8,0.10797386744357917,0.053796,1.1649169921875,5.861286878585815,12
adult_tx,8,0.11057436958208755,0.059145,1.123913288116455,5.849324464797974,13
adult_tx,8,0.10622668642479177,0.068628,1.125889778137207,5.788083791732788,14
adult_tx,8,0.10892100517864141,0.05534,1.1804540157318115,5.790856122970581,15
adult_tx,8,0.10654939455626262,0.048762,1.0861365795135498,5.794689893722534,16
adult_tx,8,0.10630895922361852,0.096822,1.124450445175171,5.834385871887207,17
adult_tx,8,0.10523980773443838,0.104493,1.1295242309570312,5.861949443817139,18
adult_tx,8,0.10785518897165994,0.054049,1.2031614780426025,5.830200672149658,19
adult_tx,8,0.10679315985703434,0.054325,1.113572597503662,6.0964179039001465,20
adult_tx,8,0.13754961809145133,0.0581564,1.1424862742424011,5.862432730197907,avg
adult_tx,16,0.10492164771694017,0.057293,1.1108412742614746,5.861871719360352,1
adult_tx,16,0.10481564961146875,0.056512,1.0848584175109863,5.810237646102905,2
adult_tx,16,0.10435426936069839,0.063014,1.09492826461792,5.831311464309692,3
adult_tx,16,0.1045458551860466,0.080776,1.1531610488891602,5.769070863723755,4
adult_tx,16,0.1055665118220329,0.053295,1.157959222793579,5.786800861358643,5
adult_tx,16,0.10290539920897936,0.227523,1.119157075881958,5.77591347694397,6
adult_tx,16,0.10673542123190224,0.258859,1.2208974361419678,5.82877779006958,7
adult_tx,16,0.10533317588229309,0.235553,1.2347497940063477,5.788215160369873,8
adult_tx,16,0.10543251160868627,0.246091,1.406635046005249,5.792047500610352,9
adult_tx,16,0.10438038727094441,0.247058,1.2236990928649902,5.7842488288879395,10
adult_tx,16,0.10607303627642253,0.242639,1.2457916736602783,5.801701545715332,11
adult_tx,16,0.10347961781785484,0.228059,1.2563886642456055,5.802978038787842,12
adult_tx,16,0.10575166125059848,0.053534,1.262038230895996,5.834289789199829,13
adult_tx,16,0.10390292454745169,0.057098,1.1093974113464355,5.76959753036499,14
adult_tx,16,0.1053941338376817,0.062434,1.12306547164917,5.810729026794434,15
adult_tx,16,0.10603769342866795,0.051395,1.132136583328247,5.815380096435547,16
adult_tx,16,0.10542071352467546,0.056575,1.1407053470611572,6.143070697784424,17
adult_tx,16,0.105413312507225,0.05676,1.1485655307769775,5.795489072799683,18
adult_tx,16,0.10468879065251144,0.245197,1.1403634548187256,5.808628559112549,19
adult_tx,16,0.10565367763476569,0.062901,1.232046365737915,5.790629148483276,20
adult_tx,Nan,0.13504031951889234,0.13212830000000003,1.1798692703247071,5.820049440860748,avg
P50.O0_tx,4,0.8284244463635918,0.11027,56.336763858795166,17.062272548675537,1
P50.O0_tx,4,0.8286271365942383,0.112745,55.18198776245117,16.642542839050293,2
P50.O0_tx,4,0.8288109200524061,0.110712,55.585728883743286,17.06817650794983,3
P50.O0_tx,4,0.8286050061031635,0.152875,56.428234338760376,18.53941583633423,4
P50.O0_tx,4,0.8284281586902505,0.102992,55.336822748184204,16.576666116714478,5
P50.O0_tx,4,0.8289109553150517,0.104382,55.072710275650024,16.728835105895996,6
P50.O0_tx,4,0.8285805047314296,0.103264,55.22780704498291,16.35945200920105,7
P50.O0_tx,4,0.8288248441147692,0.105035,55.93862819671631,16.66898488998413,8
P50.O0_tx,4,0.8282902471882271,0.102819,55.540130853652954,16.343135833740234,9
P50.O0_tx,4,0.8285534161105003,0.104297,54.85180616378784,16.448997020721436,10
P50.O0_tx,4,0.828774307216324,0.103419,54.62685251235962,16.67867636680603,11
P50.O0_tx,4,0.8282375947129946,0.108809,54.82052040100098,16.411441802978516,12
P50.O0_tx,4,0.8286472279643833,0.107445,55.4843373298645,16.417179346084595,13
P50.O0_tx,4,0.8287168188087579,0.103842,55.034966707229614,16.664260625839233,14
P50.O0_tx,4,0.8285072710536744,0.111556,54.780826568603516,16.42070198059082,15
P50.O0_tx,4,0.8284639033377686,0.106365,55.02013111114502,16.626874685287476,16
P50.O0_tx,4,0.828263710715317,0.10051,55.445472717285156,16.75119137763977,17
P50.O0_tx,4,0.8286356334229591,0.095649,54.786036252975464,16.910769939422607,18
P50.O0_tx,4,0.8286779444563397,0.10363,54.786895990371704,16.43389868736267,19
