filename,ncluster,nmi,running_time,training_time,embeding_time,iteration
adult_tx,2,0.08596802964760059,0.049683,0.8876760005950928,4.7034313678741455,1
adult_tx,2,0.08678547312697672,0.05024,0.8566656112670898,5.223510980606079,2
adult_tx,2,0.08572497346588748,0.047732,1.2997114658355713,6.304606914520264,3
adult_tx,2,0.08563689982659059,0.048052,1.2448747158050537,6.050398588180542,4
adult_tx,2,0.08715164814315245,0.049049,1.2144873142242432,5.960460186004639,5
adult_tx,2,0.08789619157842711,0.046872,1.1149072647094727,5.683932304382324,6
adult_tx,2,0.08706806929625652,0.046273,1.110018253326416,5.636903762817383,7
adult_tx,2,0.08680032726931204,0.049374,1.0972530841827393,5.649368762969971,8
adult_tx,2,0.08779647530836021,0.04747,1.1169662475585938,5.6266539096832275,9
adult_tx,2,0.08799965355709836,0.05035,1.097684621810913,5.735276937484741,10
adult_tx,2,0.08725410637152343,0.049542,1.1534781455993652,5.697739839553833,11
adult_tx,2,0.08612993344346043,0.047756,1.13533616065979,6.62359094619751,12
adult_tx,2,0.08657295511823287,0.047763,1.10245680809021,5.74281907081604,13
adult_tx,2,0.0867677624704969,0.049055,1.0954229831695557,5.647079706192017,14
adult_tx,2,0.08561058974499444,0.049245,1.1254103183746338,5.66987943649292,15
adult_tx,2,0.08684721811014497,0.050958,1.1125123500823975,5.627015829086304,16
adult_tx,2,0.08642313787034177,0.259666,1.0835542678833008,6.089684009552002,17
adult_tx,2,0.08800829288334354,0.244439,1.2579269409179688,5.627097129821777,18
adult_tx,2,0.08730985922064215,0.237347,1.2228639125823975,5.6172194480896,19
adult_tx,2,0.08757917427943472,0.228821,1.2227213382720947,5.617542266845703,20
adult_tx,Nan,0.08686653853661384,0.08748435,1.127596390247345,5.726710569858551,avg
P50.O0_tx,6,0.8935572802337081,0.108146,54.476887226104736,17.030336380004883,1
P50.O0_tx,6,0.8940320237761669,0.107405,53.743826150894165,15.74097228050232,2
P50.O0_tx,6,0.8943235427559406,0.102706,53.95310187339783,15.74508285522461,3
P50.O0_tx,6,0.8922075228971629,0.104383,53.022799253463745,15.84235954284668,4
P50.O0_tx,6,0.8927757302843878,0.107095,53.88825035095215,15.787816524505615,5
P50.O0_tx,6,0.8929232603223608,0.104265,53.99238872528076,15.826114177703857,6
P50.O0_tx,6,0.8923167193044382,0.108611,52.76945781707764,15.78817343711853,7
P50.O0_tx,6,0.8909380729210716,0.103679,53.520045042037964,15.763844966888428,8
P50.O0_tx,6,0.8917872773955007,0.10789,53.3999388217926,15.824870824813843,9
P50.O0_tx,6,0.8929641371132951,0.10655,53.317747354507446,15.849788665771484,10
P50.O0_tx,6,0.8924709923980546,0.107377,52.92023324966431,15.819409132003784,11
P50.O0_tx,6,0.8925867195653556,0.105673,52.96411871910095,15.808627843856812,12
P50.O0_tx,6,0.8918759099127062,0.103038,53.618088722229004,15.882574796676636,13
P50.O0_tx,6,0.8929528809586571,0.273614,53.298059940338135,15.768385648727417,14
P50.O0_tx,6,0.891994885916124,0.104329,53.32499837875366,15.948467016220093,15
P50.O0_tx,6,0.8914758124764538,0.105696,53.10816526412964,15.787798643112183,16
P50.O0_tx,6,0.8931787994580196,0.108202,53.102935552597046,15.838230609893799,17
P50.O0_tx,6,0.8929028501789518,0.10364,53.794095039367676,15.799631357192993,18
P50.O0_tx,6,0.892748790806167,0.093255,53.4098060131073,15.979973554611206,19
P50.O0_tx,6,0.8934422796773781,0.104387,52.83270621299744,15.846683979034424,20
P50.O0_tx,Nan,0.8926727744175951,0.11349705000000002,53.42288248538971,15.88395711183548,avg
letrecog_tx,10,0.14329573517936195,0.021449,0.7117254734039307,2.4030277729034424,1
letrecog_tx,10,0.14648854990466126,0.014377,0.7470753192901611,2.3799667358398438,2
letrecog_tx,10,0.14513259898904898,0.014425,0.728334903717041,2.3577959537506104,3
letrecog_tx,10,0.14398171497162993,0.014463,0.7217497825622559,2.3784193992614746,4
letrecog_tx,10,0.1440016361918226,0.01456,0.7334933280944824,2.3671422004699707,5
letrecog_tx,10,0.14384900468221404,0.014754,0.7313938140869141,2.397378921508789,6
letrecog_tx,10,0.143611612488523,0.01443,0.7542726993560791,2.3825583457946777,7
letrecog_tx,10,0.14103456937375242,0.014536,0.7429361343383789,2.401265859603882,8
letrecog_tx,10,0.14416226559006806,0.014383,0.7348012924194336,2.4003853797912598,9
letrecog_tx,10,0.14249852676071095,0.014161,0.7344794273376465,2.4044528007507324,10
letrecog_tx,10,0.1457480198805551,0.014191,0.7342491149902344,2.401887893676758,11
letrecog_tx,10,0.1418926729749568,0.014296,0.7400920391082764,2.393263339996338,12
letrecog_tx,10,0.14440512137584655,0.014314,0.7273187637329102,2.417184829711914,13
letrecog_tx,10,0.14386540827618607,0.0143,0.7413496971130371,2.430924654006958,14
letrecog_tx,10,0.1445793119656373,0.014085,0.7451987266540527,2.373433828353882,15
letrecog_tx,10,0.1410418843259251,0.014146,0.7269454002380371,2.3826584815979004,16
letrecog_tx,10,0.14393422960526014,0.014101,0.7671594619750977,2.3802073001861572,17
letrecog_tx,10,0.1417035471602904,0.014204,0.7164826393127441,2.385772705078125,18
letrecog_tx,10,0.14648038184623038,0.014156,0.7280919551849365,2.3734230995178223,19
letrecog_tx,10,0.1452367060658208,0.014233,0.7312333583831787,2.378305196762085,20
letrecog_tx,Nan,0.14384717488042506,0.014678199999999999,0.7349191665649414,2.3894727349281313,avg
P50.O30_tx,6,0.8716917857099675,0.100457,50.55889391899109,15.394939661026001,1
P50.O30_tx,6,0.8607994371180286,0.108141,51.29729866981506,15.300324201583862,2
P50.O30_tx,6,0.8643844931157584,0.101969,56.645477056503296,15.878064393997192,3
P50.O30_tx,6,0.8656734346071682,0.10529,51.54722261428833,15.88024616241455,4
P50.O30_tx,6,0.8540997774604505,0.105206,51.96052122116089,15.990395784378052,5
P50.O30_tx,6,0.8549607250439432,0.103418,52.840153217315674,15.299078226089478,6
P50.O30_tx,6,0.8688288449691296,0.102249,50.61491632461548,15.324156999588013,7
P50.O30_tx,6,0.8527322447271747,0.100999,50.30845236778259,15.327967643737793,8
P50.O30_tx,6,0.8588158292927592,0.100793,50.4526641368866,15.3387291431427,9
P50.O30_tx,6,0.8534608351177665,0.162966,50.54631280899048,15.272191047668457,10
P50.O30_tx,6,0.8663412648094199,0.100713,50.47376251220703,15.369097232818604,11
P50.O30_tx,6,0.8661904552471131,0.10121,51.52921915054321,15.496715307235718,12
P50.O30_tx,6,0.8621334808790958,0.106738,50.97540640830994,15.27669906616211,13
P50.O30_tx,6,0.8654669480141839,0.103989,50.852975606918335,15.309018611907959,14
P50.O30_tx,6,0.8711874827437747,0.101118,50.71095299720764,15.304510593414307,15
P50.O30_tx,6,0.8639021931820019,0.102684,50.468443393707275,15.283936262130737,16
P50.O30_tx,6,0.8706272925859706,0.10332,50.990495443344116,15.365830183029175,17
P50.O30_tx,6,0.8630128143148227,0.100581,50.702088356018066,15.275329828262329,18
P50.O30_tx,6,0.861583912312272,0.100665,50.43246841430664,15.318649768829346,19
P50.O30_tx,6,0.8388419347421134,0.100604,50.73809194564819,15.358436584472656,20
P50.O30_tx,Nan,0.8617367592996457,0.10565550000000001,51.232290828227995,15.418215835094452,avg
connect_tx,3,0.002377998123285764,0.06407,11.456222534179688,9.19333291053772,1
connect_tx,3,0.0024778011522447814,0.064405,11.598713397979736,9.24461555480957,2
connect_tx,3,0.0022924715171268807,0.06249,11.242709398269653,9.169386148452759,3
connect_tx,3,0.002315047851221498,0.065304,11.592400789260864,9.235441207885742,4
connect_tx,3,0.002641020602240726,0.062712,11.46317458152771,9.229058742523193,5
connect_tx,3,0.0022706062233739093,0.06452,11.579480648040771,9.182983160018921,6
connect_tx,3,0.0025072328183565525,0.064565,11.309869050979614,9.223989486694336,7
connect_tx,3,0.0021866673033415726,0.062207,11.546815633773804,9.213910579681396,8
connect_tx,3,0.0020284253557133797,0.063955,11.336073875427246,9.1415114402771,9
connect_tx,3,0.0022629432320905585,0.062531,11.553454160690308,9.213413000106812,10
connect_tx,3,0.0023574044011076636,0.064268,11.369468927383423,9.21482229232788,11
connect_tx,3,0.002402598559053706,0.064312,11.527965784072876,9.217196702957153,12
connect_tx,3,0.0022332307802721716,0.064254,11.305663108825684,9.174679279327393,13
connect_tx,3,0.0025079599393909684,0.144441,11.579317092895508,9.280998706817627,14
connect_tx,3,0.002417903308935246,0.063157,11.332506656646729,9.152758359909058,15
connect_tx,3,0.0024217507118026835,0.062243,11.521957397460938,9.285316228866577,16
connect_tx,3,0.002111782604492467,0.065117,11.427921295166016,9.333481788635254,17
connect_tx,3,0.0023874607902434988,0.063426,11.685007572174072,9.242485523223877,18
connect_tx,3,0.002352137788464532,0.064782,11.350303173065186,9.241953611373901,19
connect_tx,3,0.002135471140030561,0.062766,11.538154602050781,9.198984146118164,20
connect_tx,Nan,0.0023343957101394563,0.06777625000000001,11.465858983993531,9.219515943527222,avg
P0.O30_tx,6,0.7985430142466199,0.095276,34.27429413795471,14.109150171279907,1
P0.O30_tx,6,0.7986900121636427,0.094881,33.25158739089966,14.125523328781128,2
P0.O30_tx,6,0.7989455980509812,0.094528,34.097310066223145,14.131205558776855,3
P0.O30_tx,6,0.7996189400382837,0.095193,33.37268805503845,14.013462781906128,4
P0.O30_tx,6,0.7988673245944877,0.094102,33.43567705154419,14.000511884689331,5
P0.O30_tx,6,0.798801682239247,0.095044,33.35231423377991,14.008787870407104,6
P0.O30_tx,6,0.8004658993034918,0.097746,34.02887225151062,14.035470485687256,7
P0.O30_tx,6,0.7994585815080901,0.095309,34.1493194103241,13.964526176452637,8
P0.O30_tx,6,0.7978167058762567,0.094708,34.41885852813721,14.027090787887573,9
P0.O30_tx,6,0.7999875170917229,0.098335,34.42974400520325,14.078605890274048,10
P0.O30_tx,6,0.7979422821476096,0.095593,34.58508253097534,14.086642265319824,11
P0.O30_tx,6,0.7972792062079725,0.094581,34.24679613113403,13.996464729309082,12
P0.O30_tx,6,0.7989702555638818,0.094708,34.14099931716919,14.02341079711914,13
P0.O30_tx,6,0.7972360052643669,0.095899,34.75458216667175,13.91002607345581,14
P0.O30_tx,6,0.7988199217923554,0.100783,34.16988444328308,14.0273277759552,15
P0.O30_tx,6,0.798388333528879,0.097576,34.45049071311951,14.087111949920654,16
P0.O30_tx,6,0.7979495123010293,0.097498,34.59585189819336,14.014590740203857,17
P0.O30_tx,6,0.7991342622993984,0.094817,34.01617765426636,14.00624704360962,18
P0.O30_tx,6,0.7974487096488759,0.095217,34.27556586265564,13.981381893157959,19
P0.O30_tx,6,0.7990272509548253,0.098001,38.818978786468506,14.40825629234314,20
P0.O30_tx,Nan,0.7986695507411009,0.09598975000000001,34.3432537317276,14.051789724826813,avg
P0.O0_tx,6,0.8840810763313586,0.096016,35.62075328826904,14.132614374160767,1
P0.O0_tx,6,0.9043598550476177,0.096535,35.97845649719238,14.409195899963379,2
P0.O0_tx,6,0.9038888766599589,0.092582,37.505348920822144,13.952706336975098,3
P0.O0_tx,6,0.9038622575315188,0.098113,35.10481786727905,13.825994491577148,4
