file,n_clusters,vector_size,window,epochs,NMI,running_time,training_time,iteration
P20.O30_tx,4,50,5,10,0.8462896517481703,0.138595,73.11461734771729,1
P20.O30_tx,4,50,5,10,0.8462896517481703,0.131884,73.11461734771729,2
P20.O30_tx,4,50,5,10,0.8492858873660394,0.151128,73.11461734771729,3
P20.O30_tx,4,50,5,10,0.8462896517481703,0.168302,73.11461734771729,4
P20.O30_tx,4,50,5,10,0.8462896517481703,0.154824,73.11461734771729,5
P20.O30_tx,4,50,5,10,0.8462896517481703,0.170758,73.11461734771729,6
P20.O30_tx,4,50,5,10,0.8462896517481703,0.183368,73.11461734771729,7
P20.O30_tx,4,50,5,10,0.8462896517481703,0.161477,73.11461734771729,8
P20.O30_tx,4,50,5,10,0.8462896517481703,0.165164,73.11461734771729,9
P20.O30_tx,4,50,5,10,0.8462896517481703,0.165299,73.11461734771729,10
P20.O30_tx,4,50,5,10,0.8465892753099572,0.1590799,73.11461734771729,mean
P20.O30_tx,6,50,5,10,0.9998161071975844,0.172402,73.11461734771729,1
P20.O30_tx,6,50,5,10,0.9998161071975846,0.171123,73.11461734771729,2
P20.O30_tx,6,50,5,10,0.902734437657343,0.182716,73.11461734771729,3
P20.O30_tx,6,50,5,10,0.9998161071975846,0.172486,73.11461734771729,4
P20.O30_tx,6,50,5,10,0.9998161071975846,0.173415,73.11461734771729,5
P20.O30_tx,6,50,5,10,0.9998161071975846,0.174406,73.11461734771729,6
P20.O30_tx,6,50,5,10,0.9998161071975846,0.173168,73.11461734771729,7
P20.O30_tx,6,50,5,10,0.9998161071975844,0.176945,73.11461734771729,8
P20.O30_tx,6,50,5,10,0.9998161071975844,0.172422,73.11461734771729,9
P20.O30_tx,6,50,5,10,0.9998161071975846,0.171027,73.11461734771729,10
P20.O30_tx,6,50,5,10,0.9901079402435604,0.174011,73.11461734771729,mean
P20.O30_tx,8,50,5,10,0.930426809043058,0.230742,73.11461734771729,1
P20.O30_tx,8,50,5,10,0.9352608523682544,0.213793,73.11461734771729,2
P20.O30_tx,8,50,5,10,0.9365984316617026,0.216969,73.11461734771729,3
P20.O30_tx,8,50,5,10,0.9329421833388618,0.207142,73.11461734771729,4
P20.O30_tx,8,50,5,10,0.9389253295965004,0.210538,73.11461734771729,5
P20.O30_tx,8,50,5,10,0.943534529692854,0.207577,73.11461734771729,6
P20.O30_tx,8,50,5,10,0.9389648713833044,0.206517,73.11461734771729,7
P20.O30_tx,8,50,5,10,0.9415007022137216,0.215924,73.11461734771729,8
P20.O30_tx,8,50,5,10,0.9389545285712052,0.208798,73.11461734771729,9
P20.O30_tx,8,50,5,10,0.936608353595858,0.204314,73.11461734771729,10
P20.O30_tx,8,50,5,10,0.937371659146532,0.2122314,73.11461734771729,mean
P20.O30_tx,4,50,5,20,0.8609143409181133,0.138283,146.25683450698853,1
P20.O30_tx,4,50,5,20,0.8462896517481703,0.14079,146.25683450698853,2
P20.O30_tx,4,50,5,20,0.8462896517481703,0.152057,146.25683450698853,3
P20.O30_tx,4,50,5,20,0.8609143409181133,0.172036,146.25683450698853,4
P20.O30_tx,4,50,5,20,0.8462896517481703,0.159792,146.25683450698853,5
P20.O30_tx,4,50,5,20,0.849412205193635,0.158498,146.25683450698853,6
P20.O30_tx,4,50,5,20,0.8462896517481703,0.155888,146.25683450698853,7
P20.O30_tx,4,50,5,20,0.8462896517481703,0.165734,146.25683450698853,8
P20.O30_tx,4,50,5,20,0.8462896517481703,0.162409,146.25683450698853,9
P20.O30_tx,4,50,5,20,0.8609143409181133,0.179519,146.25683450698853,10
P20.O30_tx,4,50,5,20,0.8509893138436997,0.1585006,146.25683450698853,mean
P20.O30_tx,6,50,5,20,0.999816671046731,0.171294,146.25683450698853,1
P20.O30_tx,6,50,5,20,0.999816671046731,0.172887,146.25683450698853,2
P20.O30_tx,6,50,5,20,0.9998166710467308,0.174477,146.25683450698853,3
P20.O30_tx,6,50,5,20,0.999816671046731,0.173428,146.25683450698853,4
