filename,elbow_k,elbow_inertia,nmi,elbow_time,iteration
adult_tx,52,670.2033,0.08464641879418067,23.054580211639404,1
adult_tx,92,563.86395,0.0769245544595971,26.551212549209595,2
adult_tx,92,568.4373,0.07596646191804565,26.210411548614502,3
adult_tx,92,550.89923,0.07649810203695165,24.354626417160034,4
adult_tx,92,543.865,0.07608140651760938,23.838186264038086,5
adult_tx,56,655.60205,0.08143745304888315,24.768718481063843,6
adult_tx,52,717.6268,0.08365177063069795,24.696685791015625,7
adult_tx,56,661.54364,0.08205943607539033,24.307785749435425,8
adult_tx,92,566.9876,0.07675173320501143,23.631597995758057,9
adult_tx,92,537.0772,0.07571067469765735,24.92564105987549,10
adult_tx,56,669.6952,0.0813255550709504,24.505701303482056,11
adult_tx,92,531.46423,0.07662015637723033,25.70019221305847,12
adult_tx,92,525.03796,0.07643095944216047,22.52595543861389,13
adult_tx,52,660.6067,0.08402540411169865,23.438104391098022,14
adult_tx,92,535.86304,0.07515966587477448,24.506815671920776,15
adult_tx,92,560.1909,0.0762717220577255,24.311304569244385,16
adult_tx,92,535.8026,0.07669588503761543,24.22846007347107,17
adult_tx,92,509.67212,0.07764607303003362,23.299148321151733,18
adult_tx,52,645.49036,0.08518699353450504,24.36322808265686,19
adult_tx,92,522.02246,0.07601308327895587,24.789665460586548,20
P50.O0_tx,36,3091.8452,0.688347965494599,35.518068075180054,1
P50.O0_tx,36,3090.7332,0.6865911485854767,40.90109586715698,2
P50.O0_tx,36,3095.5933,0.6872689623146065,42.62767171859741,3
P50.O0_tx,36,3094.1272,0.6888740807747402,38.1139919757843,4
P50.O0_tx,36,3097.637,0.6874017408391478,38.58487820625305,5
P50.O0_tx,36,3097.6953,0.689798001129415,37.56766676902771,6
P50.O0_tx,36,3109.457,0.6883989881269237,36.640005111694336,7
P50.O0_tx,36,3099.76,0.6878017575568456,39.374866247177124,8
P50.O0_tx,36,3099.3054,0.6883996269348731,36.19704556465149,9
P50.O0_tx,36,3098.5598,0.6882583618217157,39.456523180007935,10
P50.O0_tx,36,3093.3235,0.6871402770471199,39.15789842605591,11
P50.O0_tx,36,3111.2717,0.6889106734783129,36.99507117271423,12
P50.O0_tx,36,3107.6228,0.6884458260586116,37.790735483169556,13
P50.O0_tx,36,3091.095,0.6869357707176784,36.86828684806824,14
P50.O0_tx,36,3109.125,0.6891883137010147,37.44716119766235,15
P50.O0_tx,36,3119.4292,0.6871102267003847,39.18498349189758,16
P50.O0_tx,36,3121.4397,0.6866148718182642,36.914464712142944,17
P50.O0_tx,36,3096.0732,0.6870573549107787,37.33127307891846,18
P50.O0_tx,36,3118.53,0.6879331434964773,36.906696796417236,19
P50.O0_tx,36,3125.4004,0.6907918390667273,38.31126260757446,20
letrecog_tx,96,486.14978,0.3023444795136589,8.315652132034302,1
letrecog_tx,96,515.45056,0.30112253051526827,8.352428674697876,2
letrecog_tx,96,476.13162,0.2990795041415358,8.229914903640747,3
letrecog_tx,96,458.0491,0.30171950671308306,8.318063974380493,4
letrecog_tx,96,445.06567,0.29831817752744777,9.322892189025879,5
letrecog_tx,96,454.82983,0.3017591868154201,8.083694696426392,6
letrecog_tx,96,459.43265,0.3005386758003147,8.604027032852173,7
letrecog_tx,96,490.25876,0.3018587523171858,8.099716424942017,8
letrecog_tx,104,505.80832,0.30985684816580467,8.630120038986206,9
letrecog_tx,96,519.12256,0.30032337589491065,8.427875757217407,10
letrecog_tx,96,551.6006,0.306572256019912,8.275865316390991,11
letrecog_tx,96,513.87573,0.3018419920500725,9.083966255187988,12
letrecog_tx,96,488.48657,0.3026801130789148,8.640039443969727,13
letrecog_tx,96,462.98825,0.3027573169212775,8.601294040679932,14
letrecog_tx,96,497.88275,0.29943270462232474,8.140273332595825,15
letrecog_tx,96,454.2482,0.30209441867232184,8.68979525566101,16
letrecog_tx,96,447.0264,0.30248927757707345,10.006344318389893,17
letrecog_tx,96,482.9756,0.29956824043095864,10.021874904632568,18
letrecog_tx,96,477.00897,0.30136747715291523,8.113297462463379,19
letrecog_tx,96,481.55798,0.30422602634493434,9.301722049713135,20
P50.O30_tx,48,3324.3772,0.6445187608249275,38.409095287323,1
P50.O30_tx,48,3313.3987,0.6433959476325822,37.096771240234375,2
P50.O30_tx,48,3290.9631,0.6430184356340796,40.103370904922485,3
P50.O30_tx,48,3292.9502,0.6424680650814406,40.91660928726196,4
P50.O30_tx,48,3291.5056,0.6433376085604886,37.69154620170593,5
P50.O30_tx,48,3294.444,0.6437378644572898,36.88232731819153,6
P50.O30_tx,48,3301.5652,0.645711360689686,41.50833702087402,7
P50.O30_tx,48,3291.288,0.6421493481630137,37.99753451347351,8
P50.O30_tx,48,3298.1406,0.6443695294032729,39.175281047821045,9
P50.O30_tx,48,3286.6794,0.6443264743437137,36.92216491699219,10
P50.O30_tx,48,3283.8843,0.6436990102640315,36.54173398017883,11
P50.O30_tx,48,3300.5496,0.6438394645195573,39.795881271362305,12
P50.O30_tx,48,3313.9473,0.645032629730754,38.605846881866455,13
P50.O30_tx,48,3327.8213,0.6455226477682039,38.005136013031006,14
P50.O30_tx,48,3297.7085,0.6434780380025921,39.57352423667908,15
P50.O30_tx,48,3288.2427,0.6450474030924652,35.8221914768219,16
P50.O30_tx,48,3283.7727,0.6443418656993604,36.61219048500061,17
P50.O30_tx,48,3311.8367,0.6427246872452496,34.75000476837158,18
P50.O30_tx,48,3291.7407,0.6438902294003128,39.056966066360474,19
P50.O30_tx,48,3289.8533,0.6447896849169608,35.42033362388611,20
connect_tx,84,345.21808,0.003907142564401083,30.43908929824829,1
connect_tx,84,333.5078,0.003977772722994062,31.43243098258972,2
connect_tx,84,355.9212,0.0042313346994586444,31.203269004821777,3
connect_tx,84,414.94992,0.00401414295027952,30.83577537536621,4
connect_tx,84,336.17932,0.004087805879210702,29.782823085784912,5
connect_tx,84,391.1802,0.0040309775616476735,30.736517190933228,6
connect_tx,84,494.6489,0.00397691794624828,30.481661319732666,7
connect_tx,84,376.52554,0.003982952803399967,30.70326852798462,8
connect_tx,84,344.02554,0.0040536703355948155,31.13862419128418,9
connect_tx,84,333.42267,0.004024471881137722,31.02038264274597,10
connect_tx,84,337.18878,0.003943027231356397,30.617700815200806,11
connect_tx,84,341.69385,0.004180483863951614,30.761513233184814,12
connect_tx,84,328.86685,0.0040352880934899655,30.790590524673462,13
connect_tx,84,407.13763,0.004071496762338898,30.038684129714966,14
connect_tx,84,338.63748,0.003987159505187927,30.89953875541687,15
connect_tx,84,343.1005,0.003937156517884665,31.72921347618103,16
