filename,elbow_k,elbow_inertia,iteration
P20.O30_tx,32,3091.0828,19
P20.O30_tx,32,3089.4265,20
T500k.D20k.L50.P60.O40.C8,72,24493.963,1
T500k.D20k.L50.P60.O40.C8,72,24442.059,2
T500k.D20k.L50.P60.O40.C8,60,24691.502,3
T500k.D20k.L50.P60.O40.C8,72,24435.385,4
T500k.D20k.L50.P60.O40.C8,72,24424.719,5
T500k.D20k.L50.P60.O40.C8,72,24431.54,6
T500k.D20k.L50.P60.O40.C8,72,24441.273,7
T500k.D20k.L50.P60.O40.C8,72,24434.615,8
T500k.D20k.L50.P60.O40.C8,72,24404.99,9
T500k.D20k.L50.P60.O40.C8,72,24456.748,10
T500k.D20k.L50.P60.O40.C8,72,24454.064,11
T500k.D20k.L50.P60.O40.C8,72,24440.87,12
T500k.D20k.L50.P60.O40.C8,72,24445.033,13
T500k.D20k.L50.P60.O40.C8,52,24816.594,14
T500k.D20k.L50.P60.O40.C8,72,24447.406,15
T500k.D20k.L50.P60.O40.C8,72,24429.25,16
T500k.D20k.L50.P60.O40.C8,72,24430.184,17
T500k.D20k.L50.P60.O40.C8,72,24433.756,18
T500k.D20k.L50.P60.O40.C8,72,24435.168,19
T500k.D20k.L50.P60.O40.C8,72,24402.47,20
P20.O0_tx,48,2588.2178,1
P20.O0_tx,48,2580.905,2
P20.O0_tx,48,2574.0237,3
P20.O0_tx,48,2565.9866,4
P20.O0_tx,48,2583.3281,5
P20.O0_tx,48,2589.3298,6
P20.O0_tx,48,2589.0078,7
P20.O0_tx,48,2572.2654,8
P20.O0_tx,48,2564.4946,9
P20.O0_tx,48,2575.922,10
P20.O0_tx,48,2574.7578,11
P20.O0_tx,48,2574.9758,12
P20.O0_tx,48,2573.3306,13
P20.O0_tx,48,2572.8796,14
P20.O0_tx,48,2582.3887,15
P20.O0_tx,48,2584.3042,16
P20.O0_tx,48,2579.0913,17
P20.O0_tx,48,2568.8123,18
P20.O0_tx,48,2599.4314,19
P20.O0_tx,48,2570.9468,20
chessBig_tx,64,35.19242,1
chessBig_tx,64,38.321117,2
chessBig_tx,52,40.051838,3
chessBig_tx,64,32.114285,4
chessBig_tx,80,31.364634,5
chessBig_tx,76,29.650785,6
chessBig_tx,64,33.568043,7
chessBig_tx,64,38.27239,8
chessBig_tx,64,34.63187,9
chessBig_tx,64,37.343754,10
chessBig_tx,64,35.194935,11
chessBig_tx,76,34.20099,12
chessBig_tx,76,30.180264,13
chessBig_tx,64,34.924965,14
chessBig_tx,64,38.0456,15
chessBig_tx,64,30.65313,16
chessBig_tx,60,36.542274,17
chessBig_tx,76,28.724014,18
chessBig_tx,52,41.28475,19
chessBig_tx,64,36.318413,20
pendigits_tx,96,202.11484,1
pendigits_tx,104,184.01764,2
pendigits_tx,96,187.21132,3
pendigits_tx,100,185.43776,4
pendigits_tx,84,192.73174,5
pendigits_tx,100,186.54344,6
pendigits_tx,104,177.80194,7
pendigits_tx,92,187.55905,8
pendigits_tx,100,189.19589,9
pendigits_tx,92,193.8552,10
pendigits_tx,92,189.5407,11
pendigits_tx,100,187.64748,12
pendigits_tx,80,223.90086,13
pendigits_tx,96,196.4186,14
pendigits_tx,100,187.59444,15
pendigits_tx,96,217.36739,16
pendigits_tx,100,180.30894,17
pendigits_tx,96,181.66544,18
pendigits_tx,100,178.88748,19
pendigits_tx,92,194.08972,20
db36-sep_w2v,112,111790.89,1
db36-sep_w2v,116,109661.91,2
db36-sep_w2v,104,117446.01,3
db36-sep_w2v,120,105329.24,4
db36-sep_w2v,104,116105.22,5
db36-sep_w2v,116,109147.984,6
db36-sep_w2v,104,116437.695,7
db36-sep_w2v,108,115783.305,8
db36-sep_w2v,120,106810.69,9
db36-sep_w2v,128,102595.25,10
db36-sep_w2v,120,106929.85,11
db36-sep_w2v,112,111656.28,12
db36-sep_w2v,116,108106.664,13
db36-sep_w2v,116,109420.336,14
db36-sep_w2v,104,116629.87,15
db36-sep_w2v,112,110842.836,16
db36-sep_w2v,112,110567.17,17
db36-sep_w2v,112,112294.95,18
db36-sep_w2v,104,117992.99,19
db36-sep_w2v,108,113785.586,20
