file,n_clusters,vector_size,window,epochs,NMI,running_time,iteration
connect_tx,2,50,5,5,0.0006019845095044,0.341174,1
connect_tx,2,50,5,5,0.0006053505007405,0.069441,2
connect_tx,2,50,5,5,0.0001242418233464,0.085144,3
connect_tx,4,50,5,5,0.0026050536045086,0.097264,1
connect_tx,4,50,5,5,0.0012297674356073,0.097096,2
connect_tx,4,50,5,5,0.001243960966865,0.127273,3
connect_tx,8,50,5,5,0.002636874092387,0.17641,1
connect_tx,8,50,5,5,0.0027145636067427,0.169021,2
connect_tx,8,50,5,5,0.002799611866005,0.14115,3
connect_tx,10,50,5,5,0.00268666945485,0.257231,1
connect_tx,10,50,5,5,0.0024948758961594,0.185797,2
connect_tx,10,50,5,5,0.0028085159164029,0.281852,3
connect_tx,16,50,5,5,0.0030163590468142,0.275956,1
connect_tx,16,50,5,5,0.0033735307142021,0.265541,2
connect_tx,16,50,5,5,0.0033293120084654,0.319294,3
connect_tx,20,50,5,5,0.0037672537287648,0.340384,1
connect_tx,20,50,5,5,0.0036662757849723,0.384809,2
connect_tx,20,50,5,5,0.0034882148174598,0.334206,3
connect_tx,50,50,5,5,0.0035725978405636,1.368663,1
connect_tx,50,50,5,5,0.0037460617290676,1.246473,2
connect_tx,50,50,5,5,0.0036086578053389,1.172718,3
connect_tx,100,50,5,5,0.0045811596991612,2.142507,1
connect_tx,100,50,5,5,0.004614923485106,2.321386,2
connect_tx,100,50,5,5,0.0043950193940622,2.401259,3
connect_tx,2,50,5,10,0.0024412163881802,0.075034,1
connect_tx,2,50,5,10,0.0001971846931599,0.09643,2
connect_tx,2,50,5,10,0.0005383961515525,0.091993,3
connect_tx,4,50,5,10,0.0026871024819007,0.110256,1
connect_tx,4,50,5,10,0.0011942742661652,0.107459,2
connect_tx,4,50,5,10,0.0025478707476804,0.102825,3
connect_tx,8,50,5,10,0.0033026853990111,0.169738,1
connect_tx,8,50,5,10,0.0027562705427406,0.135106,2
connect_tx,8,50,5,10,0.0027431017549238,0.167619,3
connect_tx,10,50,5,10,0.0025521420825872,0.286816,1
connect_tx,10,50,5,10,0.0027292842629225,0.214444,2
connect_tx,10,50,5,10,0.0029488078423183,0.241657,3
connect_tx,16,50,5,10,0.0027409272896518,0.332552,1
connect_tx,16,50,5,10,0.0029304996278665,0.286666,2
connect_tx,16,50,5,10,0.0031714860762259,0.315328,3
connect_tx,20,50,5,10,0.0034657291494378,0.360678,1
connect_tx,20,50,5,10,0.0034396782489834,0.353602,2
connect_tx,20,50,5,10,0.0036851248576924,0.330914,3
connect_tx,50,50,5,10,0.0040600900075256,1.257942,1
connect_tx,50,50,5,10,0.0037774568461254,1.269135,2
connect_tx,50,50,5,10,0.0038750304633316,1.194439,3
connect_tx,100,50,5,10,0.0042309626966774,2.273946,1
connect_tx,100,50,5,10,0.0042739723926088,2.210343,2
connect_tx,100,50,5,10,0.003929775444853,2.312239,3
connect_tx,2,50,5,20,0.0002911304071876,0.075708,1
connect_tx,2,50,5,20,0.0002908785467697,0.089251,2
connect_tx,2,50,5,20,0.0022090437298622,0.088427,3
connect_tx,4,50,5,20,0.002494744702932,0.134741,1
connect_tx,4,50,5,20,0.0011587605612977,0.130846,2
connect_tx,4,50,5,20,0.0025541634806381,0.097478,3
connect_tx,8,50,5,20,0.0025530344066588,0.192895,1
